date,remote_prop,major_occ
2020-05-01,0.5739945285100349,Mngmet/profession
2020-06-01,0.5209225620639667,Mngmet/profession
2020-07-01,0.44746986020637874,Mngmet/profession
2020-08-01,0.4260434779893413,Mngmet/profession
2020-09-01,0.4046666780438074,Mngmet/profession
2020-10-01,0.3811148741310099,Mngmet/profession
2020-11-01,0.39257632582457863,Mngmet/profession
2020-12-01,0.4188302149640322,Mngmet/profession
2021-01-01,0.4107096295414719,Mngmet/profession
2021-02-01,0.3965293812139751,Mngmet/profession
2021-03-01,0.3683330191893045,Mngmet/profession
2021-04-01,0.33128764453962606,Mngmet/profession
2021-05-01,0.2996953918483089,Mngmet/profession
2021-06-01,0.26905261839603783,Mngmet/profession
2021-07-01,0.24571363698304355,Mngmet/profession
2021-08-01,0.24527346783714318,Mngmet/profession
2021-09-01,0.23786222097846418,Mngmet/profession
2021-11-01,0.20405935807469808,Mngmet/profession
2021-12-01,0.20349453831693542,Mngmet/profession
2022-01-01,0.2692690188133105,Mngmet/profession
2022-02-01,0.22971408765683737,Mngmet/profession
2022-03-01,0.181533621901457,Mngmet/profession
2022-04-01,0.13978553992234805,Mngmet/profession
2022-05-01,0.13474570910116404,Mngmet/profession
2022-06-01,0.1283161150549825,Mngmet/profession
2022-07-01,0.12410599429376944,Mngmet/profession
2022-08-01,0.11510627660344865,Mngmet/profession
2022-09-01,0.09125263075037368,Mngmet/profession
2020-05-01,0.06595426690199224,other
2020-06-01,0.05002436985817376,other
2020-07-01,0.04369721865735127,other
2020-08-01,0.030071552420046745,other
2020-09-01,0.030641816404024393,other
2020-10-01,0.028135697244215177,other
2020-11-01,0.03018995139892204,other
2020-12-01,0.03241809867326462,other
2021-01-01,0.02772735389639999,other
2021-02-01,0.02812676855795046,other
2021-03-01,0.02534275185043868,other
2021-04-01,0.021696183818649364,other
2021-05-01,0.020555262802675965,other
2021-06-01,0.014988544481911803,other
2021-07-01,0.0169459664695097,other
2021-08-01,0.02032730618370674,other
2021-09-01,0.019752422039756135,other
2021-11-01,0.014685667941457982,other
2021-12-01,0.013306138890815264,other
2022-01-01,0.021630692074750473,other
2022-02-01,0.018433213448826362,other
2022-03-01,0.011751950032448239,other
2022-04-01,0.00925875615772041,other
2022-05-01,0.008959069753771507,other
2022-06-01,0.011131220904744017,other
2022-07-01,0.01115887773347947,other
2022-08-01,0.009731637098207735,other
2022-09-01,0.007131108973413817,other
2020-05-01,0.3528797732538559,Sales/office
2020-06-01,0.3064683916747888,Sales/office
2020-07-01,0.2626889500918087,Sales/office
2020-08-01,0.23157975452649446,Sales/office
2020-09-01,0.20484274686275417,Sales/office
2020-10-01,0.19814851048483736,Sales/office
2020-11-01,0.1947021872724225,Sales/office
2020-12-01,0.21516227412038674,Sales/office
2021-01-01,0.21004937715367772,Sales/office
2021-02-01,0.2119559205455139,Sales/office
2021-03-01,0.19770901055269519,Sales/office
2021-04-01,0.1669175011152763,Sales/office
2021-05-01,0.15288040481410378,Sales/office
2021-06-01,0.12558679447672627,Sales/office
2021-07-01,0.11342145423680075,Sales/office
2021-08-01,0.12057492326433703,Sales/office
2021-09-01,0.12089355319968302,Sales/office
2021-11-01,0.10422443201230006,Sales/office
2021-12-01,0.09905251906445214,Sales/office
2022-01-01,0.1446457274772975,Sales/office
2022-02-01,0.11727454808268985,Sales/office
2022-03-01,0.08639666515432723,Sales/office
2022-04-01,0.06899609204173071,Sales/office
2022-05-01,0.06400560950608933,Sales/office
2022-06-01,0.06210271980582718,Sales/office
2022-07-01,0.06759430059434167,Sales/office
2022-08-01,0.05832578385759526,Sales/office
2022-09-01,0.04727179299425207,Sales/office
2020-05-01,0.07868737167481273,Services
2020-06-01,0.06709899770952471,Services
2020-07-01,0.05313297299494641,Services
2020-08-01,0.040927211971376096,Services
2020-09-01,0.042797543974403024,Services
2020-10-01,0.03630461188447183,Services
2020-11-01,0.03777321657701768,Services
2020-12-01,0.046107017770872956,Services
2021-01-01,0.04348392725748837,Services
2021-02-01,0.04129400059161901,Services
2021-03-01,0.0402758382926404,Services
2021-04-01,0.02498877845609753,Services
2021-05-01,0.022768709851554412,Services
2021-06-01,0.01853880149971245,Services
2021-07-01,0.021896759729466374,Services
2021-08-01,0.02151782911012894,Services
2021-09-01,0.02382232755621272,Services
2021-11-01,0.014629161339546455,Services
2021-12-01,0.013187704440680246,Services
2022-01-01,0.02980626861744832,Services
2022-02-01,0.02282278521629836,Services
2022-03-01,0.016935236470130923,Services
2022-04-01,0.013778582945746786,Services
2022-05-01,0.011835853051999362,Services
2022-06-01,0.012325832484776896,Services
2022-07-01,0.015139766677865736,Services
2022-08-01,0.012344616293494514,Services
2022-09-01,0.010813416572979101,Services
